Assist Aid,Assist Help,Assist Teacher,Bashful Dopey,Bashful Dwarves,Bashful Shy,Before After,Before Previous,Before Yesterday,Beginning End,Beginning New,Beginning Start,Body Arm,Body Fat,Body Muscle,Break Destroy,Break Fix,Break Glass,Car Auto,Car Boat,Car Drive,Casual Clothes,Casual Dress,Casual Formal,Challenge Compete,Challenge Hard,Challenge Task,Chowder Clam,Chowder Puppy,Chowder Soup,Cinema Film,Cinema Movie,Cinema Theater,Closed Door,Closed Minded,Closed Open,Cloth Clothes,Cloth Fabric,Cloth Material,Common Normal,Common Ordinary,Common Uncommon,Computer Disc,Computer Keyboard,Computer Program,Dancer Ballet,Dancer Music,Dancer Singer,Difficult Easy,Difficult Hard,Difficult Test,Melody Music,Melody Song,Melody Tune,Organize Clean,Organize Neat,Organize Plan,Pupil Eye,Pupil Student,Pupil Teacher,Record
2,4,1,1,1,4,4,4,2,4,2,4,2,3,2,4,3,2,4,2,3,2,5,1,4,4,2,4,2,1,4,4,1,3,3,5,2,3,3,2,3,2,4,4,3,4,2,1,1,5,5,5,2,3,3,3,3,5,1,1,6
4,3,4,3,5,1,5,3,5,5,4,5,1,5,3,2,3,2,5,1,5,5,5,3,3,4,4,5,2,4,2,5,3,5,1,5,4,5,3,2,3,4,5,5,5,5,4,3,4,5,,5,3,3,4,2,5,3,2,2,7
2,4,1,1,1,4,1,2,1,5,1,2,2,4,2,1,2,1,5,2,4,5,2,1,1,5,2,3,1,4,4,4,4,1,3,3,5,4,4,5,4,4,4,5,4,4,5,2,2,5,2,4,4,4,4,4,4,3,3,1,8
4,4,1,2,1,5,3,2,2,4,4,5,1,2,3,3,2,3,5,1,5,2,5,1,1,2,4,5,1,5,5,5,4,3,2,2,5,4,3,3,4,2,3,4,5,4,3,1,1,5,1,5,5,2,4,3,1,3,2,1,9
1,4,2,1,1,4,5,5,2,4,4,4,3,4,4,4,3,3,4,1,4,1,2,1,3,4,2,4,1,2,2,4,4,2,5,4,5,4,3,3,5,4,3,3,1,2,4,3,2,5,2,3,3,1,5,4,4,5,4,1,10
3,4,5,1,1,3,2,3,5,4,2,5,4,2,3,3,3,1,5,3,5,2,2,1,2,5,1,5,1,1,1,5,3,1,1,4,5,5,4,5,4,2,1,5,2,4,2,2,1,5,1,5,1,5,3,4,3,5,3,1,11
1,3,4,,3,3,5,1,1,5,2,1,2,4,3,4,4,3,2,2,2,4,3,3,4,1,2,3,2,2,4,4,4,3,2,5,4,3,3,4,3,4,2,3,4,4,3,4,5,1,1,4,3,3,4,4,4,2,2,5,12
1,3,1,1,2,3,5,3,2,2,3,4,2,2,3,4,1,1,1,2,4,1,1,4,1,2,2,2,1,2,1,4,5,1,3,5,4,3,2,2,1,3,2,4,4,1,4,3,1,5,1,5,4,1,3,3,2,2,4,4,13
5,5,5,4,1,4,2,5,3,3,5,5,4,4,4,5,4,4,4,2,5,4,3,2,3,4,5,5,1,5,4,4,5,3,5,2,4,4,4,4,4,5,5,5,4,5,4,5,2,5,4,4,5,5,4,5,5,5,4,5,14
3,5,3,1,1,2,2,3,3,2,4,5,2,2,2,3,2,3,3,2,3,3,3,1,4,4,1,2,1,2,5,3,3,2,1,3,3,3,4,4,3,2,2,4,3,4,3,3,2,5,3,4,4,3,4,5,2,4,2,1,15
3,5,1,4,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,3,5,3,3,2,2,5,2,5,1,5,5,5,3,5,3,5,5,5,5,3,5,5,4,4,3,5,5,3,3,5,4,2,3,5,5,5,5,5,3,3,16
1,1,5,2,3,3,3,4,3,5,3,4,5,5,5,4,3,3,3,1,4,3,3,3,3,3,3,5,1,5,3,5,3,5,5,3,3,5,5,5,3,3,5,5,5,3,3,3,1,4,5,3,5,3,4,4,3,5,3,2,17
4,3,1,2,2,4,5,3,1,5,3,5,4,2,2,3,5,3,3,4,4,4,4,5,2,5,2,5,1,4,3,4,2,5,2,5,4,3,2,3,3,4,2,3,2,4,2,1,5,5,2,4,4,3,3,3,4,4,4,3,18
3,3,1,1,3,4,5,3,2,4,1,3,2,3,1,2,4,1,3,2,4,3,3,2,2,2,2,3,1,3,3,3,2,3,2,4,1,3,2,2,2,3,2,2,4,2,2,2,4,4,1,3,3,2,2,4,3,1,5,2,19
3,4,1,1,3,4,1,2,1,2,2,4,1,2,2,2,1,1,1,1,3,3,2,3,1,4,4,3,1,2,2,4,4,1,1,2,2,2,2,4,2,1,2,3,3,3,2,1,2,5,1,3,3,3,2,3,2,4,1,2,20
5,4,2,1,3,5,2,4,2,1,5,5,4,2,4,5,2,4,3,1,4,3,2,1,5,5,2,2,1,1,4,5,5,2,3,1,3,3,1,5,5,2,2,5,4,4,4,1,1,5,2,3,4,4,3,3,5,3,3,2,21
2,4,1,1,1,2,4,1,1,4,2,2,1,1,1,2,3,2,3,1,2,1,2,2,2,2,1,3,1,1,3,4,2,2,2,5,2,2,3,1,1,3,1,1,3,2,1,1,4,4,1,4,3,2,1,1,1,3,3,3,22
2,4,2,2,1,4,5,5,1,4,4,4,2,2,3,4,4,2,4,2,5,4,3,2,3,3,2,4,2,2,3,3,3,2,4,3,2,2,2,3,3,3,2,4,2,2,2,1,5,5,3,3,2,2,3,4,3,3,2,2,23
2,4,2,2,3,4,4,2,3,4,4,2,2,3,3,3,3,1,3,1,3,2,3,2,1,3,1,2,2,2,2,4,3,2,3,2,3,2,2,3,2,3,3,2,4,2,4,4,2,3,1,4,3,4,3,3,3,5,2,1,24
3,4,2,3,2,5,5,5,4,4,3,5,3,4,3,4,3,3,4,2,4,4,5,3,4,3,3,4,1,2,2,2,4,3,3,5,5,5,4,2,4,2,3,4,3,3,3,2,4,4,4,4,2,2,5,3,3,4,1,3,25
5,5,2,2,1,4,5,3,3,5,3,3,2,3,4,4,3,2,5,1,4,4,3,1,2,3,1,5,1,5,2,4,3,4,3,4,4,4,4,4,5,4,4,5,4,2,3,1,3,4,3,2,3,4,5,4,5,4,4,3,26
1,2,2,4,1,1,5,5,2,5,3,3,3,3,2,3,3,1,1,3,3,2,1,5,1,3,2,4,1,1,3,3,3,2,1,5,3,3,4,3,3,5,2,2,2,3,1,4,5,3,1,3,3,3,2,5,3,3,1,1,27
5,5,3,5,1,4,,3,2,4,4,5,3,5,1,4,2,1,5,1,3,4,3,1,2,5,2,4,1,4,5,5,4,4,1,2,5,2,5,4,4,2,4,5,5,4,3,2,1,4,4,5,4,2,5,4,2,4,4,1,28
5,5,3,1,1,5,5,5,1,5,3,5,3,5,4,5,2,5,5,1,4,1,1,1,4,5,1,1,4,1,5,5,5,1,1,1,5,5,5,1,1,1,5,5,1,3,3,3,2,5,3,5,4,3,5,5,3,5,1,1,29
2,5,1,5,1,4,5,4,1,5,2,3,1,5,2,3,4,3,4,1,3,2,1,5,3,2,3,5,1,4,4,4,5,5,1,3,2,5,4,2,2,2,2,5,4,2,3,4,4,5,2,4,4,3,4,5,1,5,1,1,30
1,1,3,2,1,2,3,2,3,3,2,1,2,4,2,2,4,4,2,1,3,4,4,1,1,3,2,2,1,3,4,4,4,2,4,4,2,2,3,2,2,2,5,3,4,4,3,3,2,2,1,4,3,4,4,2,3,2,1,2,31
4,3,3,1,3,3,5,3,2,5,2,5,2,3,2,5,5,3,3,5,3,5,2,4,3,4,2,3,1,3,2,4,5,2,2,5,3,3,4,4,3,5,1,3,5,3,4,4,5,4,2,3,4,2,4,4,2,5,1,2,32
2,4,2,2,2,3,5,4,2,5,2,4,2,3,2,4,5,4,5,1,4,5,3,2,4,4,2,3,1,1,3,2,3,2,3,5,3,3,2,4,3,5,3,4,4,2,4,2,5,5,4,4,5,2,4,4,3,3,1,5,33
2,3,2,1,1,3,5,1,1,5,1,3,1,2,1,1,1,1,1,1,3,3,2,2,1,2,1,5,1,1,2,4,2,2,2,3,5,1,1,2,1,1,1,1,2,1,2,2,1,2,3,2,2,1,2,2,2,5,1,1,34
3,4,2,1,1,4,4,3,1,3,2,4,1,2,2,2,4,2,3,1,2,3,2,2,2,3,2,3,3,2,3,3,3,2,1,4,3,3,4,2,3,3,1,2,2,3,2,3,4,5,4,3,3,2,2,4,2,5,1,1,35
3,5,3,2,1,3,4,4,5,4,3,4,2,5,2,4,4,4,3,1,4,5,2,3,3,3,2,1,1,3,3,3,5,4,3,3,3,4,4,5,2,4,3,5,5,5,4,4,1,5,4,5,4,4,5,5,4,5,3,1,36
5,5,1,1,3,5,5,3,3,5,4,4,2,2,2,4,4,2,3,1,3,2,3,4,2,3,2,4,1,4,4,4,4,2,2,5,5,4,3,4,2,2,2,3,4,3,2,3,4,5,3,4,2,3,4,4,3,5,2,1,37
1,5,2,1,3,5,5,4,4,5,3,5,5,3,2,4,3,4,4,1,5,4,5,3,4,5,1,5,1,3,3,4,4,3,3,5,5,4,5,3,4,2,1,5,3,5,4,2,3,5,3,5,3,3,5,5,3,5,2,3,38
2,5,2,1,1,5,5,3,2,5,3,5,2,5,2,3,5,2,5,1,5,3,4,3,1,2,4,5,1,1,5,3,2,3,5,5,2,2,3,1,3,5,2,3,3,4,1,1,2,5,2,2,2,2,5,4,5,2,1,1,39
3,4,2,3,2,5,5,3,2,4,3,5,2,4,2,3,2,4,2,1,5,4,4,3,2,4,2,5,1,5,2,4,3,4,3,5,5,3,4,4,4,5,1,3,4,2,4,2,2,4,2,5,4,2,3,3,3,5,5,3,40
,3,1,1,1,4,5,2,1,5,3,2,2,4,2,2,3,2,3,,3,3,3,3,1,2,1,4,1,3,4,4,1,3,3,4,2,4,5,2,4,4,3,4,4,3,2,2,3,4,1,2,2,2,3,3,3,4,3,1,41
3,4,2,1,1,1,4,4,1,2,1,3,1,2,3,3,1,1,2,2,3,2,2,3,2,3,2,1,3,1,4,4,3,1,1,2,3,2,1,2,3,2,1,2,3,2,2,3,4,4,3,4,3,2,3,4,3,2,2,2,42
3,3,3,3,2,2,4,3,2,2,3,3,2,1,2,2,2,3,2,1,3,2,2,3,3,3,2,2,2,2,3,1,3,1,1,4,3,1,1,3,3,2,1,2,2,2,3,3,4,3,3,3,3,2,3,4,3,2,1,1,43
5,5,1,4,1,5,5,5,3,5,4,5,4,5,3,4,5,5,5,3,5,5,4,4,3,5,5,4,1,2,5,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,3,5,5,4,5,4,3,5,5,4,5,2,1,44
2,3,3,5,2,3,5,3,4,4,3,3,3,4,4,2,3,2,4,1,4,2,2,4,3,4,3,5,1,3,4,4,4,3,3,4,4,3,2,2,3,5,3,3,3,2,3,4,4,3,4,3,3,3,4,4,4,3,2,2,45
3,4,2,1,1,5,1,5,2,1,5,5,2,3,3,4,1,4,,1,2,2,2,1,3,4,2,1,1,4,2,3,2,2,2,1,2,3,4,5,3,1,2,3,3,4,3,1,1,5,2,3,3,5,4,5,4,3,3,1,46
1,4,1,1,1,5,5,4,1,5,1,4,2,4,1,4,2,2,2,1,4,2,4,2,3,3,1,3,1,1,3,4,1,1,1,5,2,3,4,2,3,4,2,3,3,1,4,4,2,5,1,4,3,1,3,5,2,5,1,1,47
5,5,1,4,3,4,2,3,1,3,5,5,2,5,2,3,4,2,4,1,2,3,3,3,2,4,5,5,1,4,4,5,5,3,1,1,3,5,3,5,3,2,3,5,3,4,3,1,1,5,1,5,4,5,2,4,4,5,1,1,48
1,4,2,1,1,5,5,4,4,5,1,4,2,2,2,4,5,2,4,1,5,4,5,2,2,4,1,5,1,4,5,4,3,4,5,5,2,4,4,3,4,5,5,4,3,4,4,5,5,4,3,4,5,2,3,3,4,4,1,1,49
5,5,2,3,1,3,5,4,4,3,3,4,3,3,2,5,4,4,3,2,4,3,2,1,2,3,2,4,1,4,4,5,4,3,5,2,3,4,3,4,2,3,5,5,2,4,2,2,2,5,4,5,4,4,5,5,4,5,4,2,50
2,2,2,2,1,3,4,2,2,5,1,3,2,4,4,4,3,4,2,1,4,5,5,2,2,3,2,4,1,4,3,5,4,4,5,4,1,3,2,3,3,2,4,2,5,3,2,2,2,3,4,5,4,3,3,2,2,3,5,4,51
5,5,3,2,2,5,5,4,3,5,3,5,4,4,3,4,5,3,5,3,5,5,3,4,4,3,3,5,1,5,5,2,4,3,3,5,3,4,4,4,4,4,2,5,5,5,4,3,4,5,3,5,4,4,2,5,5,4,4,4,52
4,3,3,3,2,3,4,2,3,5,4,4,3,5,4,3,3,4,3,3,4,5,4,3,5,4,4,4,4,4,4,4,4,5,4,4,3,3,2,3,2,3,5,3,4,2,3,3,4,2,5,4,4,3,3,3,3,4,4,3,53
4,4,1,4,4,4,2,2,2,3,2,3,1,3,2,3,2,4,3,1,4,1,2,2,2,3,1,5,1,2,4,3,4,3,1,3,4,4,3,2,3,3,2,3,3,3,4,2,4,5,3,4,2,2,3,4,1,4,4,3,54
5,5,2,1,1,5,3,4,2,5,2,3,2,3,2,4,4,3,5,1,4,2,4,3,2,5,2,4,1,4,5,5,4,2,2,5,3,2,3,3,4,3,5,5,5,5,5,3,5,5,3,4,5,3,4,5,4,5,3,3,55
2,3,4,1,1,1,4,4,2,5,3,2,1,2,1,,4,2,1,1,2,1,3,3,2,2,2,3,2,4,4,5,4,2,1,5,2,5,2,2,2,3,3,5,3,3,2,3,3,5,1,1,4,5,3,4,3,5,1,1,56
5,5,3,1,1,5,5,5,2,5,3,5,4,4,2,5,2,2,4,2,4,5,5,5,4,4,4,3,1,2,5,5,5,4,3,5,2,5,4,4,3,5,2,5,2,5,5,4,5,5,4,5,3,5,3,4,4,1,4,2,57